Rk,Player,Pos,Age,PTS,AST,STL,BLK,Tm,G,GS,MP
191,Josh Giddey,SG,19,12.5,6.4,0.9,0.4,OKC,54,54,31.5
192,Shai Gilgeous-Alexander,PG,23,24.5,5.9,1.3,0.8,OKC,56,56,34.7
193,Anthony Gill,PF,29,4.1,0.6,0.1,0.3,WAS,44,0,10.5
194,Freddie Gillespie,PF,24,2.3,0.6,0.3,1,ORL,9,2,13.2
195,Rudy Gobert,C,29,15.6,1.1,0.7,2.1,UTA,66,66,32.1
196,Brandon Goodwin,PG,26,4.8,2.5,0.7,0,CLE,36,5,13.9
197,Jordan Goodwin,SG,23,0,0,0,0,WAS,2,0,3
198,Aaron Gordon,PF,26,15,2.5,0.6,0.6,DEN,75,75,31.7
199,Eric Gordon,SG,33,13.4,2.7,0.5,0.3,HOU,57,46,29.3
200,Devonte' Graham,PG,26,11.9,4.2,0.9,0.2,NOP,76,63,28.4
201,Jerami Grant,PF,27,19.2,2.4,0.9,1,DET,47,47,31.9
202,Hassani Gravett,PG,25,6.3,2.5,0.6,0.1,ORL,8,3,21.4
203,Danny Green,SF,34,5.9,1,1,0.6,PHI,62,28,21.8
204,Draymond Green,PF,31,7.5,7,1.3,1.1,GSW,46,44,28.9
205,Jalen Green,SG,19,17.3,2.6,0.7,0.3,HOU,67,67,31.9
206,JaMychal Green,PF,31,6.4,0.9,0.6,0.4,DEN,67,8,16.2
207,Javonte Green,SF,28,7.2,0.9,1,0.5,CHI,65,45,23.4
208,Jeff Green,C,35,10.3,1.3,0.4,0.4,DEN,75,63,24.7
209,Josh Green,SG,21,4.8,1.2,0.7,0.2,DAL,67,3,15.5
210,Blake Griffin,PF,32,6.4,1.9,0.5,0.3,BRK,56,24,17.1
211,Quentin Grimes,SG,21,6,1,0.7,0.2,NYK,46,6,17.1
212,Kyle Guy,SG,24,3.9,0.9,0.4,0.1,MIA,19,0,9.8
213,Rui Hachimura,PF,23,11.3,1.1,0.5,0.2,WAS,42,13,22.5
214,Tyrese Haliburton,SG-PG,21,15.3,8.2,1.7,0.6,TOT,77,77,35
214,Tyrese Haliburton,SG,21,14.3,7.4,1.7,0.7,SAC,51,51,34.5
214,Tyrese Haliburton,PG,21,17.5,9.6,1.8,0.6,IND,26,26,36.1
215,Tyler Hall,SG,24,0,0,0,0,NYK,1,0,2
